twitch_game_id,twitch_game_name,appid,steam_game_name
509658,Just Chatting,1221560,Just Chatting
32399,Counter-Strike,10,Counter-Strike
21779,League of Legends,20590,League of Legends
263490,Rust,252490,Rust
263490,Rust,980030,Rust
32982,Grand Theft Auto V,362003,Grand Theft Auto V
15540,Radiant Silvergun,2450820,Radiant Silvergun
24241,FINAL FANTASY XIV ONLINE,39210,FINAL FANTASY XIV Online
114524791,Shadowverse: Worlds Beyond,2584990,Shadowverse: Worlds Beyond
1264310518,Marvel Rivals,2767030,Marvel Rivals
29595,Dota 2,570,Dota 2
1253800827,Mafia: The Old Country,1941540,Mafia: The Old Country
491487,Dead by Daylight,381210,Dead by Daylight
27546,World of Tanks,1407200,World of Tanks
511224,Apex Legends,1172470,Apex Legends
499973,Always On,3087090,Always On
2011938005,EA Sports FC 25,2669320,EA SPORTS FC 25
459931,Old School RuneScape,1343370,Old School RuneScape
500188,Hunt: Showdown 1896,594650,Hunt: Showdown 1896
493057,PUBG: BATTLEGROUNDS,578080,PUBG: BATTLEGROUNDS
386821,Black Desert,582660,Black Desert
27284,Retro,1235810,Retro
30921,Rocket League,252950,Rocket League
36799602,Clair Obscur: Expedition 33,1903340,Clair Obscur: Expedition 33
512864,Eternal Return,528010,Eternal Return
512864,Eternal Return,1049590,Eternal Return
29307,Path of Exile,238960,Path of Exile
417528,Albion Online,761890,Albion Online
322503446,Resident Evil 4,2050650,Resident Evil 4
482579574,Grounded 2,2661300,Grounded 2
505084,Umamusume: Pretty Derby,3224770,Umamusume: Pretty Derby
20596,Dofus,254300,Dofus
497057,Destiny 2,1085660,Destiny 2
518184,Phasmophobia,739630,Phasmophobia
486610138,Luto,1729740,Luto
512953,ELDEN RING,1245620,ELDEN RING
1081998272,PEAK,3506430,Peak
1081998272,PEAK,3527290,PEAK
1294658629,R.E.P.O.,3241660,R.E.P.O.
655697363,Abiotic Factor,427410,Abiotic Factor
65632,DayZ,221100,DayZ
401587136,Arena Breakout: Infinite,2073620,Arena Breakout: Infinite
743,Chess,707140,Chess
743,Chess,2965280,Chess
2104758320,The First Descendant,2074920,The First Descendant
1282866981,Delta Force,2507950,Delta Force
509511,Marbles on Stream,1170970,Marbles on Stream
66366,War Thunder,236390,War Thunder
32502,World of Warships,552990,World of Warships
315165001,Low-Budget Repairs,3167920,Low-Budget Repairs
262437666,Farming Simulator 25,2300320,Farming Simulator 25
271304,7 Days to Die,251570,7 Days to Die
65654,The Elder Scrolls Online,306130,The Elder Scrolls Online
499003,VRChat,438100,VRChat
490100,Lost Ark,1599340,Lost Ark
505705,Noita,881100,Noita
382835903,WUCHANG: Fallen Feathers,2277560,WUCHANG: Fallen Feathers
1835414308,Fate Trigger,3092530,Fate Trigger
515881069,Mechabellum,669330,Mechabellum
493959,Red Dead Redemption 2,1174180,Red Dead Redemption 2
